year,month,month_name,total_background_checks
2001,1,Jan,2005053
2001,2,Feb,2238299
2001,3,Mar,2487034
2001,4,Apr,2454527
2001,5,May,2751005
2001,6,Jun,550272
2001,7,Jul,548016
2001,8,Aug,724256
2001,9,Sep,881266
2001,10,Oct,1047863
2001,11,Nov,1006335
2001,12,Dec,1093620
2002,1,Jan,655987
2002,2,Feb,687011
2002,3,Mar,707897
2002,4,Apr,619669
2002,5,May,557459
2002,6,Jun,507222
2002,7,Jul,530171
2002,8,Aug,688810
2002,9,Sep,718270
2002,10,Oct,843113
2002,11,Nov,881541
2002,12,Dec,969919
2003,1,Jan,646882
2003,2,Feb,703956
2003,3,Mar,730189
2003,4,Apr,615058
2003,5,May,560886
2003,6,Jun,523780
2003,7,Jul,525032
2003,8,Aug,677315
2003,9,Sep,731305
2003,10,Oct,848369
2003,11,Nov,836392
2003,12,Dec,1003080
2004,1,Jan,685638
2004,2,Feb,715879
2004,3,Mar,729554
2004,4,Apr,629279
2004,5,May,529776
2004,6,Jun,537942
2004,7,Jul,552985
2004,8,Aug,658919
2004,9,Sep,732988
2004,10,Oct,857807
2004,11,Nov,883939
2004,12,Dec,1065185
2005,1,Jan,678733
2005,2,Feb,735103
2005,3,Mar,757824
2005,4,Apr,647423
2005,5,May,546986
2005,6,Jun,548584
2005,7,Jul,555679
2005,8,Aug,679473
2005,9,Sep,786211
2005,10,Oct,847860
2005,11,Nov,921798
2005,12,Dec,1161381
2006,1,Jan,767936
2006,2,Feb,815478
2006,3,Mar,837280
2006,4,Apr,693232
2006,5,May,622547
2006,6,Jun,613583
2006,7,Jul,629866
2006,8,Aug,830477
2006,9,Sep,917184
2006,10,Oct,969092
2006,11,Nov,1043598
2006,12,Dec,1252784
2007,1,Jan,893575
2007,2,Feb,913547
2007,3,Mar,974093
2007,4,Apr,838642
2007,5,May,801509
2007,6,Jun,791992
2007,7,Jul,756584
2007,8,Aug,916097
2007,9,Sep,943662
2007,10,Oct,1023899
2007,11,Nov,1079062
2007,12,Dec,1229610
2008,1,Jan,941043
2008,2,Feb,1019972
2008,3,Mar,1039597
2008,4,Apr,938745
2008,5,May,885246
2008,6,Jun,818485
2008,7,Jul,889634
2008,8,Aug,955685
2008,9,Sep,971613
2008,10,Oct,1182156
2008,11,Nov,1528341
2008,12,Dec,1522468
2009,1,Jan,1212863
2009,2,Feb,1257324
2009,3,Mar,1342359
2009,4,Apr,1222022
2009,5,May,1019331
2009,6,Jun,964070
2009,7,Jul,963521
2009,8,Aug,1070879
2009,9,Sep,1087686
2009,10,Oct,1226560
2009,11,Nov,1217229
2009,12,Dec,1401109
2010,1,Jan,1112312
2010,2,Feb,1237617
2010,3,Mar,1291618
2010,4,Apr,1226760
