year,total_background_checks,basis
2001,17787546,sum_of_months
2002,8367069,sum_of_months
2003,8402244,sum_of_months
2004,8579891,sum_of_months
2005,8867055,sum_of_months
2006,9993057,sum_of_months
2007,11162272,sum_of_months
2008,12692985,sum_of_months
2009,13984953,sum_of_months
2010,14320489,sum_of_months
2011,16336732,sum_of_months
2012,19463832,sum_of_months
2013,20966704,sum_of_months
2014,20860241,sum_of_months
2015,23026288,sum_of_months
2016,27425512,sum_of_months
2017,24955919,sum_of_months
2018,25769441,sum_of_months
2019,28007320,sum_of_months
2020,39326079,sum_of_months
2021,38573127,sum_of_months
2022,30861706,sum_of_months
2023,28732139,sum_of_months
2024,26926624,sum_of_months
2025,18647964,sum_of_months
